word,orig,Bolbol,FaBert,Hoosh
پیش,8.63568978,8.635689512711508,7.4194159507751465,9.537060737609863
خود,5.961649128,5.961653650006844,5.7553839683532715,7.035584449768066
اندیشید,8.176479206,8.176478137233902,3.5354256629943848,13.720428466796875
چندان,16.02501903,16.025023227423855,0.745319128036499,5.093899250030518
چیز,8.904311797,8.904309543652532,5.81003475189209,11.213064193725586
عجیبی,2.078209446,2.078209808983486,1.0647648572921753,13.480242729187012
نیست,0.742678056,0.7426889917595413,0.16174566745758057,10.821351051330566
که,2.392771856,2.3927852914462435,7.378003120422363,3.2652597427368164
خرگوشی,8.320645967,8.320646439060697,13.648542404174805,15.566168785095215
حرف,13.66296398,13.662962074688469,9.220674514770508,11.349811553955078
بزند,0.504729036,0.5047373324466972,1.5720458030700684,16.17510223388672
و,1.340329371,1.340337101007433,3.2444705963134766,8.702804565429688
بگوید,7.563841672,7.563842943158559,3.459871530532837,9.795942306518555
وای,6.372903116,6.372904186871145,11.41454792022705,12.032732963562012
خدایا,6.152040777,6.152041063892194,7.191943168640137,13.410300254821777
خیلی,7.278692374,7.278691330441046,9.677461624145508,9.590332984924316
دیر,8.764130383,8.764130967618904,6.7655029296875,8.621636390686035
شد,2.204464543,2.204464146456415,1.2159837484359741,10.493509292602539
ولی,10.24521727,10.245216251693824,7.012985706329346,7.456479072570801
وقتی,7.526591885,7.52659386704399,7.789380073547363,7.938669204711914
بعد,8.736932861,8.736933290453281,9.299362182617188,10.1287202835083
به,6.88288263,6.882884216066715,7.258729457855225,8.030340194702148
موضوع,10.07765506,10.077655602601771,7.960474491119385,7.2314534187316895
فکر,5.163330694,5.163329346195241,5.293665409088135,10.659158706665039
کرد,4.875199814,4.875209908363229,4.807456016540527,9.483053207397461
به,4.196533781,4.196532696706702,0.5100281834602356,8.115653038024902
صرافت,6.74250611,6.742511338366973,11.568819999694824,8.545516967773438
افتاد,1.045284595,1.04528619232831,0.17537502944469452,1.2681784629821777
که,0.837923276,0.8379225073816822,3.3520395755767822,0.8219530582427979
بایستی,14.87102395,14.871020333375634,9.789216041564941,10.698275566101074
از,3.977652846,3.977654539597545,4.363713264465332,2.926607131958008
این,3.534550176,3.534550051849205,2.310767412185669,2.5763275623321533
قضیه,7.303426654,7.303427502784422,5.001009464263916,5.269430160522461
